,City,Latitude,Longitude,Temperature °F,Humidity (%),Cloud Coverage (%),Wind Speed (MPH)
140,Talnakh,68.87920383421488,89.06729336062818,-26.36,84.0,94.0,4.88
141,Arraial Do Cabo,-37.368583688024856,-22.50749857654432,87.51,66.0,40.0,11.5
142,Katsuura,33.790922934558154,140.74561832156684,55.96,94.0,75.0,9.22
143,Moa,21.17627077021612,-74.65734183533979,83.26,62.0,22.0,13.38
144,Codrington,20.520632080145504,-57.73578603251897,59.79,76.0,100.0,8.93
145,Barentsburg,80.50005403632781,2.298649089147432,,,,
146,Jamestown,-39.33721881891815,-7.849859140311764,25.27,59.0,40.0,5.37
147,Lamar,37.50024266678038,-103.19520548822891,18.77,79.0,90.0,17.27
148,Loukhi,65.91532237634951,32.84427998652032,-4.52,92.0,58.0,3.31
149,Longyearbyen,84.10105961942699,17.586712227537333,15.8,73.0,75.0,4.61
150,Nikolskoye,47.338454944222036,166.16986557739074,8.26,73.0,75.0,11.18
151,Sabzevar,35.034416419236834,58.215165893623436,52.66,41.0,0.0,6.89
152,Ewa Beach,15.880254380111936,-159.47837628737807,75.38,69.0,1.0,1.39
153,Meyungs,9.180576257629838,131.6411438967193,,,,
154,Kieta,-4.591272326576345,155.9086678436371,79.54,81.0,100.0,8.37
155,Puerto Ayora,-22.31677929325646,-98.52916255678807,80.85,74.0,75.0,9.22
156,San-Pedro,4.785635044829462,-6.508284012198629,79.03,90.0,100.0,6.4
157,Namibe,-18.683631754732545,7.8518620926195695,76.05,72.0,100.0,8.61
158,Georgetown,-4.738366473765339,-23.1858137122629,80.26,69.0,20.0,3.44
159,Mongo,12.292667982890151,19.106873448602244,78.1,18.0,0.0,4.88
160,Qinhuangdao,40.43258773250989,119.37350106013685,21.72,83.0,2.0,5.48
161,Grand Gaube,-14.133832414187026,62.67916574081738,77.0,80.0,48.0,3.0
162,Tiznit,26.559433417332713,-8.174638927662102,65.98,45.0,0.0,2.19
163,La Ronge,55.914942431989374,-106.77049812620687,-5.8,59.0,2.0,1.14
164,Ponta Do Sol,16.850612871606984,-40.74524496865138,58.82,82.0,20.0,4.61
165,Akdagmadeni,39.674272519169364,35.87947410397459,38.91,74.0,71.0,7.16
166,Samarai,-14.619679930323755,155.8315773365353,80.64,76.0,60.0,2.71
167,Sao Geraldo Do Araguaia,-6.188143566071943,-48.677223874369076,80.82,87.0,85.0,1.32
168,Maraba,-5.577685562450057,-49.43610316771594,86.0,79.0,75.0,9.22
169,Patharia,23.864381598172486,79.16138923036374,64.09,32.0,0.0,5.95
170,Chuy,-60.05254983509228,-24.534811669641982,79.56,69.0,92.0,4.83
171,Axim,0.4325204540831038,-3.2520397537022063,80.62,84.0,0.0,7.09
172,Teya,63.84342485296344,92.19713688517533,-22.83,83.0,0.0,1.7
173,Pisco,-26.5119470146669,-95.25777970730375,76.73,61.0,0.0,6.91
174,Ribeira Do Pombal,-10.792503133890193,-38.465775450998535,90.9,38.0,28.0,10.69
175,Taoudenni,22.83358015279063,-2.881120140714188,78.53,17.0,0.0,17.63
176,Dunmore Town,26.42856914340966,-74.81590670170331,76.26,87.0,0.0,16.53
177,Sur,23.398748363476457,60.10811992185435,69.8,75.0,0.0,6.11
178,Saldanha,-39.14417556903412,0.14827441987671364,68.0,73.0,97.0,6.91
179,Monrovia,5.48877119015232,-11.312599822572508,81.52,81.0,0.0,6.82
180,Port Hardy,46.372389006404006,-133.74034154308612,35.6,87.0,90.0,26.46
181,Mys Shmidta,87.45898618419312,-170.07324519663268,,,,
182,Isangel,-24.401511827200565,178.40777927142426,78.75,84.0,100.0,7.11
183,Pando,-34.79022961845259,-55.88539704072595,74.59,78.0,75.0,2.89
184,Kendari,-3.3695430810907254,123.69277225471882,77.23,83.0,100.0,3.47
185,Burnie,-45.53797688549997,141.03846115745205,61.0,85.0,18.0,5.01
186,Jakhal Mandi,29.66278818118859,75.67146241235878,,,,
187,Marrakesh,31.15946130389429,-6.172739367134227,71.6,35.0,20.0,5.75
188,Ostrovnoy,68.7391573721861,41.00196963125606,-1.88,90.0,65.0,12.24
189,Dalen,59.06973925888187,8.239934992996893,32.0,57.0,100.0,4.0
190,Hanzhong,33.47339432675315,107.05530809985288,52.02,52.0,100.0,2.19
191,Bethel,47.062827162526645,-161.43038508846308,35.6,64.0,90.0,4.61
192,Amapa,1.8729937052936805,-51.01843860333909,78.01,94.0,100.0,5.73
193,Necochea,-40.37399384789009,-58.98332075178865,69.01,92.0,100.0,7.0
194,Bilma,21.08397894735245,12.87240249557587,72.25,19.0,0.0,4.61
195,Lompoc,34.119018082286914,-122.05014593466288,55.02,51.0,1.0,13.8
196,Tabiauea,-1.8383403670404022,165.47127601450916,,,,
197,Yulara,-24.6349885901965,129.46514898913995,77.0,38.0,100.0,9.22
198,Alofi,-20.62979778434672,-171.48972425627426,80.6,83.0,1.0,9.22
199,Waipawa,-43.566373040950886,178.88733948485077,58.62,82.0,100.0,6.91
200,Bowmore,56.15185565157552,-6.501940119140613,39.13,87.0,90.0,9.22
201,Buchanan,-0.37425091412355016,-13.322773909838673,81.34,80.0,83.0,5.82
202,Viligili,-0.44052544547805894,78.41584624480345,,,,
203,Mapiripan,2.347511827943052,-70.88979889233335,93.67,44.0,99.0,11.32
204,Cesvaine,57.059749709068655,26.148598670486706,16.21,97.0,86.0,7.34
205,Port Hedland,-20.396232793192155,121.0920729267271,78.8,89.0,40.0,10.36
206,Bredasdorp,-73.87550697699636,22.30032883979996,66.2,72.0,0.0,12.66
207,Faanui,-13.511943307716962,-158.33613201641353,81.9,72.0,0.0,11.16
208,Myronivka,49.51352353211777,31.119844457540893,12.87,95.0,0.0,5.82
209,Aklavik,68.6812097221109,-137.9310189386503,-2.2,78.0,90.0,8.05
210,Cabo San Lucas,13.107722633117845,-115.75363962111471,71.08,63.0,20.0,26.46
211,Lavrentiya,63.89762377845352,-170.6672526324275,-10.97,86.0,33.0,12.46
212,Attawapiskat,52.629216248625795,-83.295280617936,,,,
213,Santa Helena,6.472183621540211,-73.71187121925486,83.41,73.0,100.0,5.06
214,Villamontes,-20.946452917545884,-63.998629520877785,95.31,35.0,100.0,7.52
215,Norman Wells,84.27311847436772,-116.55382896546057,-23.8,76.0,40.0,3.44
216,Tumannyy,74.06011118034115,35.838362489743645,,,,
217,Richards Bay,-29.37994416234711,34.06829299151394,77.0,93.0,100.0,6.55
218,Irbeyskoye,54.46826396467023,95.98577816274525,-6.47,90.0,94.0,2.21
219,Tiksi,74.33682248186128,126.60171169155973,-18.54,89.0,100.0,6.15
220,Dovolnoye,54.70754053218974,79.26357820353712,18.93,97.0,100.0,10.33
221,Touros,-2.8528221571206416,-30.969546863362638,86.0,62.0,0.0,18.41
222,Thompson,65.9363311108809,-94.43403916205331,-5.8,71.0,75.0,11.5
223,Kirakira,-12.323181473757572,162.5919934032704,79.75,80.0,59.0,5.01
224,Wanaka,-41.83787882821077,166.95962617411254,54.0,78.0,100.0,1.01
225,Dikson,73.55290547608274,74.29353121105464,-18.15,88.0,100.0,13.82
226,Kindu,-1.5536424329338274,25.07971257733044,78.24,74.0,100.0,2.13
227,Lata,-8.267682725055337,169.75076842426,55.89,77.0,100.0,5.99
228,Belen,34.74497820089596,-107.11376266916567,53.6,87.0,0.0,2.3
229,Boo,59.27510895452403,18.470120791429906,28.2,64.0,0.0,3.44
230,Mlowo,-8.899133801930319,33.07774526798539,60.91,95.0,28.0,3.2
231,Beringovskiy,59.85779301949634,179.09925521654174,-0.35,91.0,100.0,23.26
232,Paracuru,-1.9921178398951582,-38.16429440001775,82.99,74.0,37.0,15.01
233,Saint-Pierre,35.81228138529043,-52.36647017077932,74.73,73.0,20.0,11.5
234,Camacha,37.912248906497155,-14.603657204725891,59.0,88.0,40.0,5.75
235,Shimanovsk,52.29611656134816,127.95911284678067,-13.41,89.0,88.0,5.84
236,Chumikan,56.56886786191612,134.01705259448465,2.01,88.0,100.0,11.72
237,Anadyr,62.14828302111968,175.2587026143034,3.2,72.0,100.0,17.9
238,Cockburn Town,22.240491943704512,-70.51587634691916,82.4,57.0,20.0,17.27
239,Cayenne,14.641192756629906,-41.855428952995226,78.8,89.0,75.0,18.41
240,Santa Maria,18.36214911356349,-19.850993678643874,82.4,61.0,40.0,9.22
241,Crab Hill,14.238143658725733,-59.8686768609614,,,,
242,Kathmandu,31.370947588154536,86.14042103704617,51.8,87.0,20.0,2.3
243,San Quintin,18.996966785186686,-130.41548833400432,60.58,64.0,100.0,14.94
244,Flinders,-36.546165111648264,129.71173474272,65.59,79.0,100.0,5.01
245,Bewar,27.301659192551156,79.31917449903864,60.19,46.0,59.0,3.13
246,Retz,48.74325559476716,15.862627796985834,22.01,79.0,0.0,1.99
247,Kruisfontein,-59.269863292571465,27.269566298752835,70.0,92.0,100.0,1.01
248,Auki,-2.3063398853362713,164.18887125762916,76.84,87.0,99.0,3.94
249,Sumbe,-11.215657003753634,13.961673941966382,78.01,81.0,0.0,9.69
250,Sonoita,32.21746230147933,-112.72668529185881,57.99,24.0,6.0,5.01
251,Salalah,20.089841348906674,53.351311206454625,73.4,68.0,0.0,4.61
252,Ramhormoz,31.421000993362597,49.50483362401158,63.97,33.0,0.0,5.48
253,Lebu,-37.03947754377093,-74.2615055341213,63.18,62.0,0.0,17.29
254,Treinta Y Tres,-32.96493025016852,-54.275963479049196,84.22,53.0,100.0,4.12
255,Salina,39.08313751544773,-97.7768597069198,2.8,66.0,90.0,16.11
256,Whittlesea,-32.38984207724617,26.88725816542336,67.41,86.0,86.0,3.6
257,Muzquiz,27.86201802906386,-101.9490481705473,,,,
258,Hokitika,-41.85308008100917,169.09633014380785,56.39,87.0,100.0,3.51
259,Belushya Guba,85.58230801993716,59.53654873313667,,,,
260,Hot Springs,34.56129303103465,-93.88906228890805,18.12,73.0,90.0,4.61
261,Samusu,-1.4490824321296003,-164.31398631714112,,,,
262,Chicama,-12.37217395538346,-88.0225744733875,71.6,88.0,75.0,11.5
263,Shediac,46.40883975316598,-64.40831350785204,24.53,68.0,90.0,9.22
264,Belaya Gora,69.40372164464847,146.63068367727578,-10.19,91.0,100.0,5.08
265,Puerto Leguizamo,-1.6962454926898118,-75.72730621457963,92.68,45.0,99.0,4.32
266,Nouadhibou,20.93086436677389,-19.332912532931005,77.0,47.0,0.0,13.8
267,Altay,45.96737009052512,88.74250510940834,13.53,72.0,2.0,2.13
268,Luganville,-14.380184756036712,165.27997395898882,78.44,82.0,100.0,3.38
269,Banda Aceh,4.538879020743622,93.85468165448259,78.85,78.0,0.0,9.08
270,Casper,43.278134397394524,-107.14127370984505,-4.56,65.0,90.0,3.44
271,Husavik,73.10458241224163,-12.30938382529672,41.0,70.0,75.0,5.75
272,Vaitupu,-10.838634892514733,-175.62496926034413,,,,
273,Ust-Tsilma,64.93994355039408,52.1412452618265,-12.8,88.0,100.0,7.85
274,Shebunino,46.16051893419191,140.78887495478966,27.75,89.0,96.0,4.38
275,Dalby,-27.22312092540296,150.93963066178145,63.0,84.0,99.0,9.37
276,Harper,1.904488669377912,-9.223813463370362,79.84,86.0,87.0,6.11
277,Sandwick,58.947314241711126,-0.6473173988714791,42.8,87.0,90.0,40.29
278,Hastings,-41.27442095285431,178.58636652964327,39.78,55.0,100.0,5.99
279,Broken Hill,-27.414193517285234,141.54841347024603,64.4,34.0,0.0,11.5
280,Poum,-20.28457322812386,161.8821486463001,79.5,75.0,85.0,5.97
281,Olafsvik,58.28879312094827,-28.080411855210855,41.61,79.0,35.0,17.49
282,Luba,2.3454457906251633,7.670710573535587,81.82,80.0,98.0,11.41
283,Providencia,28.885915919912676,-111.53348125853073,68.63,45.0,93.0,11.99
284,Haputale,6.604632002182086,80.78680251662462,75.2,100.0,40.0,3.44
285,Sarakhs,37.065513171835946,61.01437825717309,46.4,71.0,0.0,2.3
286,Pangnirtung,59.61977965711935,-62.2179502063903,-18.4,76.0,20.0,0.87
287,Kyabe,8.716424955693384,19.65109920534681,85.15,18.0,0.0,3.02
288,Lakes Entrance,-38.979565663070744,148.05862127591263,57.0,92.0,97.0,4.09
289,Manzhouli,47.858911976481664,117.90812538791278,-14.85,86.0,64.0,5.66
290,Sisimiut,67.93135089411282,-58.479540377256356,1.06,87.0,12.0,10.74
291,Mehran,31.72552370640568,45.918350503040216,44.6,57.0,0.0,4.61
292,Brawley,33.20947958337611,-115.83918983448179,67.62,16.0,1.0,16.11
293,San Ramon,-13.944691270116039,-64.77472302366587,51.53,62.0,90.0,4.61
294,Sakaiminato,38.37260076065155,133.21710094616276,51.8,100.0,75.0,4.61
295,Portland,-53.28195456657946,132.87895537892382,29.55,80.0,90.0,12.66
296,Clarence Town,22.290898950794087,-74.87263086907491,66.04,73.0,75.0,17.27
297,Storsteinnes,69.30209714258186,19.171381480728428,27.66,93.0,90.0,2.3
298,Gat,27.002434112091066,6.7132088977324145,55.15,100.0,0.0,2.35
299,Sentyabrskiy,38.87435437232412,153.96748290195342,,,,
300,Barnstaple,50.803538309608484,-3.867546762945665,50.95,94.0,100.0,13.0
301,Indian Trail,35.04616086947709,-80.71718510213404,39.38,93.0,90.0,11.5
302,San Luis,29.04206536388604,-113.54996710503721,86.23,25.0,91.0,4.34
303,Doka,12.6686192806457,35.79871325496535,83.59,18.0,24.0,8.41
304,Yanchukan,55.91393235700298,112.14591237701393,,,,
305,Rawson,-49.6211424455926,-60.58538634700797,68.0,37.0,90.0,26.46
306,Kargasok,61.23750745492785,79.92382907483022,3.58,94.0,100.0,15.82
307,Sola,-13.6269230466404,166.09667171914697,81.82,83.0,90.0,14.52
308,Krasnoselkup,65.35764675867296,83.37196929756277,-30.46,82.0,88.0,9.89
309,Maloshuyka,63.94929023908182,37.48035208379838,,,,
310,Arman,55.75449506473467,149.26305161325217,-8.97,80.0,24.0,7.27
311,Chengalpattu,12.714924699128005,79.97609474667098,73.4,83.0,20.0,1.77
312,Phan Thiet,9.318816756025427,109.92179942005885,66.61,86.0,17.0,4.45
313,Tonj,6.609738636781415,28.320342595108002,82.62,15.0,47.0,2.82
314,Deputatskiy,68.9680314020203,140.03601190271513,-17.79,88.0,100.0,1.54
315,Constitucion,12.360217133196656,-129.78043492691512,65.79,63.0,14.0,6.58
316,Pathein,17.71220986238228,93.82455273249053,66.81,87.0,0.0,4.85
317,Fortuna,40.63293874733725,-125.04889549846993,44.64,100.0,90.0,25.32
318,Russkaya Polyana,54.021215522544736,73.767621695213,12.33,96.0,0.0,6.13
319,Nosy Varika,-21.159774631952587,49.925902921338064,75.13,87.0,100.0,4.16
320,Diamantino,-13.68980157433893,-55.129450343141826,79.75,85.0,100.0,7.92
321,Jinchengjiang,25.34047627163187,107.5792591292851,,,,
322,Janoshaza,47.119738101005424,17.21062011202048,25.43,68.0,0.0,6.91
323,Paamiut,63.24367766937468,-47.635157642304534,10.38,89.0,1.0,16.51
324,Zhigansk,71.92702919536214,121.61270312543178,-23.71,85.0,93.0,9.37
325,Solnechnyy,60.90138646391057,137.59511928615967,2.44,93.0,100.0,1.34
326,Cascais,37.41125485744364,-13.926186104409112,59.02,67.0,97.0,6.62
327,Tezpur,26.736634629913908,92.96142675062396,68.0,50.0,77.0,0.6
328,Carnduff,48.85671964342305,-101.7959703732462,-17.12,84.0,0.0,8.25
329,Kalabo,-15.783227410863176,20.913409093929317,71.11,60.0,100.0,5.77
330,Severobaykalsk,55.349537140442465,108.45145141720735,-6.36,86.0,100.0,5.48
331,Krasnoturansk,54.092412222589275,91.47657811852065,6.8,78.0,0.0,4.47
332,Nago,26.313670055860612,129.54225049807678,66.13,72.0,40.0,17.27
333,Inderborskiy,47.88500586012205,50.77435575431588,,,,
334,Mamallapuram,11.686629093927692,83.95123841408895,73.4,83.0,20.0,5.01
335,Cabras,40.07758401925051,8.60262597909653,36.88,76.0,0.0,9.06
336,Vila,-17.168968200817318,169.85661989705784,53.01,75.0,100.0,5.01
337,Tuatapere,-57.334608705436544,157.7231657784991,55.99,93.0,95.0,8.01
338,Baiyin,36.93640904381931,104.99929614599858,24.46,62.0,0.0,4.47
339,Cap Malheureux,-17.627623445499182,56.7195856333108,77.0,80.0,64.0,3.0
340,Manggar,-3.5550301769449106,107.1719847005761,78.15,85.0,37.0,10.04
341,Bacuit,12.935388063044073,116.58264679005293,,,,
342,Dwarka,21.0516673883279,68.0025449794156,70.74,77.0,0.0,9.57
343,Brigantine,35.66008763994431,-70.74175685969752,34.97,86.0,90.0,8.05
344,Kayes,15.637334550031085,-11.197399848072536,92.03,10.0,3.0,5.91
345,Sao Joao Da Barra,-31.669635304448107,-25.684414047384053,86.0,54.0,20.0,13.8
